County,WeekStartDate,ProbableCases,ConfirmedCases,TotalCases,Age 0-19,Age 20-39,Age 40-59,Age 60-79,Age 80+,UnknownAge,dtm_updated
Adams County,2020-03-15,0,3,3,0,0,3,0,0,0,2021/01/19 14:50:51
Adams County,2020-03-22,0,13,13,0,2,5,6,0,0,2021/01/19 14:50:51
Adams County,2020-03-29,0,17,17,2,8,4,3,0,0,2021/01/19 14:50:51
Adams County,2020-04-05,0,8,8,1,2,4,1,0,0,2021/01/19 14:50:51
Adams County,2020-04-12,0,2,2,0,1,1,0,0,0,2021/01/19 14:50:51
Adams County,2020-04-19,0,4,4,0,4,0,0,0,0,2021/01/19 14:50:51
Adams County,2020-04-26,0,2,2,0,1,1,0,0,0,2021/01/19 14:50:51
Adams County,2020-05-03,0,1,1,1,0,0,0,0,0,2021/01/19 14:50:51
Adams County,2020-05-10,0,1,1,0,0,1,0,0,0,2021/01/19 14:50:51
Adams County,2020-05-17,0,6,6,0,2,4,0,0,0,2021/01/19 14:50:51
Adams County,2020-05-24,0,17,17,2,9,4,2,0,0,2021/01/19 14:50:51
Adams County,2020-05-31,0,14,14,5,6,3,0,0,0,2021/01/19 14:50:51
Adams County,2020-06-07,0,12,12,1,2,5,3,0,1,2021/01/19 14:50:51
Adams County,2020-06-14,0,13,13,1,4,5,3,0,0,2021/01/19 14:50:51
Adams County,2020-06-21,0,29,29,0,16,8,5,0,0,2021/01/19 14:50:51
Adams County,2020-06-28,0,54,54,14,13,18,8,1,0,2021/01/19 14:50:51
Adams County,2020-07-05,0,58,58,17,24,11,4,2,0,2021/01/19 14:50:51
Adams County,2020-07-12,0,66,66,14,22,23,5,2,0,2021/01/19 14:50:51
Adams County,2020-07-19,0,52,52,13,13,10,6,10,0,2021/01/19 14:50:51
Adams County,2020-07-26,0,34,34,6,12,9,4,3,0,2021/01/19 14:50:51
Adams County,2020-08-02,0,56,56,6,22,20,7,1,0,2021/01/19 14:50:51
Adams County,2020-08-09,0,51,51,13,15,13,8,2,0,2021/01/19 14:50:51
Adams County,2020-08-16,0,60,60,14,23,17,5,0,1,2021/01/19 14:50:51
Adams County,2020-08-23,0,62,62,9,31,14,7,1,0,2021/01/19 14:50:51
Adams County,2020-08-30,0,92,92,16,30,30,14,2,0,2021/01/19 14:50:51
Adams County,2020-09-06,0,49,49,6,25,15,1,2,0,2021/01/19 14:50:51
Adams County,2020-09-13,0,44,44,10,18,7,7,2,0,2021/01/19 14:50:51
Adams County,2020-09-20,0,40,40,1,21,12,6,0,0,2021/01/19 14:50:51
Adams County,2020-09-27,0,16,16,4,3,4,5,0,0,2021/01/19 14:50:51
Adams County,2020-10-04,0,20,20,1,8,2,6,3,0,2021/01/19 14:50:51
Adams County,2020-10-11,0,17,17,3,5,5,3,1,0,2021/01/19 14:50:51
Adams County,2020-10-18,0,10,10,4,5,1,0,0,0,2021/01/19 14:50:51
Adams County,2020-10-25,0,36,36,10,14,8,4,0,0,2021/01/19 14:50:51
Adams County,2020-11-01,1,82,83,15,23,29,15,1,0,2021/01/19 14:50:51
Adams County,2020-11-08,1,144,145,31,55,38,17,4,0,2021/01/19 14:50:51
Adams County,2020-11-15,5,134,139,22,52,47,18,0,0,2021/01/19 14:50:51
Adams County,2020-11-22,6,44,50,8,27,13,2,0,0,2021/01/19 14:50:51
Adams County,2020-11-29,12,75,87,17,34,27,8,1,0,2021/01/19 14:50:51
Adams County,2020-12-06,22,51,73,18,24,19,9,0,3,2021/01/19 14:50:51
Adams County,2020-12-13,9,46,55,11,15,17,11,1,0,2021/01/19 14:50:51
Adams County,2020-12-20,8,18,26,10,4,1,10,1,0,2021/01/19 14:50:51
Adams County,2020-12-27,14,28,42,7,19,12,4,0,0,2021/01/19 14:50:51
Adams County,2021-01-03,2,39,41,12,11,10,7,1,0,2021/01/19 14:50:51
Adams County,2021-01-10,1,20,21,3,7,6,5,0,0,2021/01/19 14:50:51
Asotin County,2020-03-29,0,4,4,0,0,2,2,0,0,2021/01/19 14:50:51
Asotin County,2020-04-05,0,4,4,0,1,2,0,1,0,2021/01/19 14:50:51
Asotin County,2020-04-12,0,6,6,0,0,5,1,0,0,2021/01/19 14:50:51
Asotin County,2020-04-19,0,4,4,1,0,0,2,1,0,2021/01/19 14:50:51
Asotin County,2020-05-17,0,1,1,0,0,1,0,0,0,2021/01/19 14:50:51
Asotin County,2020-06-07,0,1,1,0,0,0,1,0,0,2021/01/19 14:50:51
Asotin County,2020-06-21,0,1,1,0,0,0,1,0,0,2021/01/19 14:50:51
Asotin County,2020-06-28,0,1,1,0,0,0,1,0,0,2021/01/19 14:50:51
Asotin County,2020-07-19,0,2,2,0,2,0,0,0,0,2021/01/19 14:50:51
Asotin County,2020-07-26,0,2,2,1,1,0,0,0,0,2021/01/19 14:50:51
Asotin County,2020-08-02,0,5,5,0,3,2,0,0,0,2021/01/19 14:50:51
Asotin County,2020-08-09,0,14,14,1,7,2,4,0,0,2021/01/19 14:50:51
Asotin County,2020-08-16,0,5,5,0,3,2,0,0,0,2021/01/19 14:50:51
Asotin County,2020-08-23,0,4,4,1,0,2,1,0,0,2021/01/19 14:50:51
Asotin County,2020-08-30,0,7,7,1,2,2,2,0,0,2021/01/19 14:50:51
Asotin County,2020-09-06,0,15,15,2,1,4,7,1,0,2021/01/19 14:50:51
Asotin County,2020-09-13,0,22,22,3,6,2,9,2,0,2021/01/19 14:50:51
Asotin County,2020-09-20,0,25,25,3,3,5,7,7,0,2021/01/19 14:50:51
Asotin County,2020-09-27,0,16,16,1,3,3,5,4,0,2021/01/19 14:50:51
Asotin County,2020-10-04,0,22,22,2,7,2,7,4,0,2021/01/19 14:50:51
Asotin County,2020-10-11,0,42,42,4,18,10,8,2,0,2021/01/19 14:50:51
Asotin County,2020-10-18,0,44,44,4,19,10,10,1,0,2021/01/19 14:50:51
Asotin County,2020-10-25,0,92,92,8,38,29,13,4,0,2021/01/19 14:50:51
Asotin County,2020-11-01,0,136,136,13,47,42,29,5,0,2021/01/19 14:50:51
Asotin County,2020-11-08,0,149,149,17,51,44,30,7,0,2021/01/19 14:50:51
Asotin County,2020-11-15,0,114,114,10,33,39,24,8,0,2021/01/19 14:50:51
Asotin County,2020-11-22,0,69,69,3,18,23,19,6,0,2021/01/19 14:50:51
Asotin County,2020-11-29,0,92,92,9,24,24,27,8,0,2021/01/19 14:50:51
Asotin County,2020-12-06,0,58,58,8,24,15,9,2,0,2021/01/19 14:50:51
Asotin County,2020-12-13,0,60,60,2,22,19,15,2,0,2021/01/19 14:50:51
Asotin County,2020-12-20,0,36,36,5,15,8,5,3,0,2021/01/19 14:50:51
Asotin County,2020-12-27,0,54,54,0,19,7,26,2,0,2021/01/19 14:50:51
Asotin County,2021-01-03,0,29,29,2,10,9,6,2,0,2021/01/19 14:50:51
Asotin County,2021-01-10,0,11,11,2,3,5,0,1,0,2021/01/19 14:50:51
Benton County,2020-03-08,0,3,3,0,0,0,2,1,0,2021/01/19 14:50:51
Benton County,2020-03-15,0,21,21,0,5,6,5,5,0,2021/01/19 14:50:51
Benton County,2020-03-22,0,107,107,3,18,25,22,38,1,2021/01/19 14:50:51
Benton County,2020-03-29,0,75,75,3,19,15,19,19,0,2021/01/19 14:50:51
Benton County,2020-04-05,0,83,83,7,22,37,16,1,0,2021/01/19 14:50:51
Benton County,2020-04-12,0,65,65,3,19,26,14,3,0,2021/01/19 14:50:51
Benton County,2020-04-19,0,125,125,6,57,41,12,9,0,2021/01/19 14:50:51
Benton County,2020-04-26,0,81,81,7,29,13,20,12,0,2021/01/19 14:50:51
Benton County,2020-05-03,0,53,53,3,15,18,12,5,0,2021/01/19 14:50:51
